Severity,Start_Time,End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Weather_Hour,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday
2,652,747,0.0,71.0,87.0,29.27,6.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,94.75,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2019,6,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,388,468,0.171,49.0,66.0,30.05,10.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,79.93333333333334,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,11,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,708,752,0.0,62.0,72.0,30.01,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93333333333333,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,1,18,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,450,516,0.0,-4.0,56.0,29.65,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.41666666666667,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,2,14,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,411,508,0.607,43.0,43.0,29.35,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2021,1,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,1390,1139,4.506,49.0,71.0,29.99,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188.5,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1071,1148,0.142,48.0,58.0,30.19,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2022,12,24,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,528,560,2.5380000000000003,71.0,75.0,30.37,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,964,984,0.315,99.0,26.0,28.45,10.0,6.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,9,9,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,733,770,0.8,34.0,37.0,29.76,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2022,1,21,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
