ID,Severity,Start_Time,End_Time,Distance(mi),Description,Zipcode,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Encoded,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather
A-3175830,2,684,714,0.0,Accident on US-220 Greensboro Rd Northbound near Soapstone Rd.,24148-3513,2017-11-09 11:15:00,46.8,95.0,30.15,3.0,North,4.6,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,30,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-5092481,2,451,504,1.017,Slow traffic on I-894 W - US-45 N - I-41 N - US-41 N from Beloit Rd/Exit 3 (I-894) to National Ave/Exit 2 (I-894) due to accident.,53227,2023-01-03 07:45:00,36.0,93.0,28.94,3.0,NE,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5799956,2,906,1026,1.262,Hazardous debris is causing no to minimum delays. Use caution.,97058-9603,2021-03-04 14:53:00,59.0,48.0,29.79,10.0,NNW,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,9,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-261934,2,1379,1424,0.0,Accident on Autumn Bay Dr both ways at Montezuma St.,78744-1757,2016-12-04 22:53:00,50.0,93.0,30.04,10.0,North,10.4,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0
A-4192367,2,967,1082,2.553,Slow traffic on FL-115 N - I-95 N from US-1/20th St/Exit 354 (I-95) to FL-105/Heckscher Dr/Exit 358 (I-95) due to accident.,32206,2022-06-09 15:53:00,95.0,43.0,29.83,10.0,W,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1690599,2,419,549,0.0,Shoulder closed due to multi-vehicle accident on I-83 Northbound at Exit 38 Evergreen Rd.,17070,2019-12-03 06:56:00,38.0,53.0,29.32,10.0,WNW,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6711125,2,391,614,0.165,Incident on OLD EASLEY BRIDGE RD near TURNER HILL RD Road closed. Take alternate route.,29642-2626,2020-10-19 06:35:00,52.0,76.0,29.25,10.0,N,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-1579015,2,605,665,0.0,Accident on Willis Rd at Brandermill Rd.,29301-5301,2020-01-07 10:15:00,45.0,100.0,29.08,7.0,CALM,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1294790,2,1169,1248,0.0,Accident on Lake Anne Dr at US-70 Glenwood Ave.,27612-1878,2020-09-11 19:33:00,75.0,94.0,29.68,10.0,SSE,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-4218707,2,954,1049,0.8759999999999999,Incident on I-75 SB near I-75 Drive with caution.,45220,2022-12-07 15:53:00,52.0,89.0,29.71,6.0,NW,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
