Severity,Start_Time,End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Weather_Hour,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday
1,342,372,0.0,77.0,88.0,29.81,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.866666666666667,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,8,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,907,922,0.0,75.0,65.0,28.84,20.0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,603,649,0.0,79.0,84.0,29.8,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.483333333333334,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,8,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,484,544,0.0,82.0,79.0,29.98,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,59.6,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2022,7,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,963,993,0.0,86.0,55.0,29.91,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,5,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,920,966,0.0,86.0,46.0,29.35,7.0,6.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,45.85,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,7,21,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,992,1052,0.0,80.0,45.0,30.0,10.0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,4,17,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1089,1134,0.0,88.0,40.0,29.39,10.0,6.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,45.0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,6,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1169,1234,0.0,76.0,62.0,30.15,10.0,13.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,64.96666666666667,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2020,3,18,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,849,929,0.0,104.0,9.0,28.63,10.0,7.0,0.0,0,0,1,0,0,0,1,0,0,0,0,1,0,79.96666666666667,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,6,21,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,696,725,0.0,85.0,61.0,29.36,10.0,6.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,29.133333333333333,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2022,8,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,464,561,0.0,83.0,65.0,29.54,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.16666666666667,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,926,955,0.0,86.0,28.0,24.72,10.0,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,29.733333333333334,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,9,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1042,1077,0.0,47.0,59.0,29.25,10.0,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.96666666666667,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,5,5,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,472,532,0.0,77.0,74.0,29.27,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,6,19,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,253,380,0.0,70.0,87.0,29.19,10.0,5.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,127.53333333333333,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2022,8,18,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,912,957,0.0,64.0,17.0,25.3,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,5,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
