End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
1376,0.013,46.0,83.0,29.02,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,122.48333333333332,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2021,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1152,0.086,79.0,62.0,30.05,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,166.4,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2022,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
928,0.7,60.0,55.0,29.8,10.0,13.0,0.0,0,0,0,0,1,0,0,0,0,0,0,29.333333333333332,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
327,0.0,18.0,84.0,31.08,1.2,10.4,0.01,0,0,0,0,0,0,0,0,0,0,0,28.35,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2019,2,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
656,0.386,72.0,69.0,25.02,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,104.63333333333334,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1242,0.034,93.0,24.0,27.71,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,176.1,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
677,0.0,68.0,65.0,30.16,10.0,6.0,0.0,0,0,1,0,0,0,0,0,0,0,1,62.733333333333334,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2021,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
269,0.6659999999999999,67.0,90.0,29.29,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,89.51666666666667,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
987,0.0,73.0,46.0,29.86,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,171.53333333333333,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
95,4.537,62.0,93.0,29.2,8.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,68.5,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
