ID,Severity,Start_Time,End_Time,Distance(mi),Description,Zipcode,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Encoded,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather
A-1829398,3,554,600,0.0,Right lane blocked due to accident on I-95 Southbound at RI-37 .,02888,2019-11-19 08:51:00,41.0,100.0,29.7,1.0,CALM,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-4478941,2,332,431,0.045,Incident on I-87 near I-87 Drive with caution.,10454,2022-09-13 05:33:00,70.0,84.0,29.72,10.0,SSW,5.0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1
A-4763831,2,1135,1214,0.594,Incident on FRAZIER MOUNTAIN PARK RD WB near MONTEREY TRL Drive with caution.,93225,2023-01-16 18:53:00,33.0,92.0,25.19,10.0,NNW,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-3626814,4,1331,253,0.266,Closed at PA-148/5th Ave/Yellow Belt - Road closed due to accident.,15137,2017-06-04 21:53:00,66.9,81.0,29.84,10.0,SW,15.0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0,-1078,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0
A-5393828,2,745,823,0.031,Incident on SILVERLEAF AVE near E MONARCH AVE Expect delays.,70812-1057,2023-01-21 12:53:00,51.0,92.0,29.94,10.0,E,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-4905439,2,221,299,0.009,Incident on ROYAL LN near MARSH LN Drive with caution.,75229,2022-12-12 03:53:00,55.0,89.0,29.53,10.0,S,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5012245,2,879,984,0.501,Incident on I-65 SB near MM 238 Right shoulder closed.,35007,2022-01-20 14:53:00,36.0,76.0,29.56,10.0,N,7.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,105,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5466723,2,1182,1307,0.093,Slow traffic from I-35 Service Rd (E Rundberg Ln) to Parkfield Dr (W Rundberg Ln) due to accident.,78753,2021-06-17 19:51:00,91.0,38.0,29.23,10.0,SE,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
A-4622288,2,1048,1171,2.014,Slow traffic on I-20 E from I-26/US-76/Exit 64 (I-20) to SC-215/Monticello Rd/Exit 68 (I-20) due to accident.,29210,2022-05-03 17:56:00,84.0,56.0,29.72,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1912424,3,1104,1186,0.0,HOV lane blocked due to accident on I-85 Southbound at Boggs Rd.,30096-2358,2019-09-14 17:56:00,84.0,69.0,29.05,10.0,ESE,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-2173797,2,522,612,0.0,#1 lane blocked due to accident on US-101 Southbound at Exit 414B CA-92.,94403,2019-04-17 08:47:00,55.0,77.0,30.24,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6438218,2,1232,1350,0.036,Incident on MIDLAND PKY near HARTH PL Drive with caution.,29485,2021-01-02 20:35:00,68.0,100.0,29.95,8.0,S,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5458742,2,706,830,0.439,Accident on Rancho Santa Fe Rd (CA-78) from San Marcos Blvd (CA-78) to CA-78 E.,92069,2022-04-18 11:53:00,63.0,70.0,29.67,10.0,W,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,9,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-7169633,1,900,915,0.006,At CA-88/Waterloo Rd - Accident. Hard shoulder blocked.,95215,2020-04-10 14:55:00,69.0,53.0,29.94,10.0,NNW,7.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5461316,2,206,283,0.408,Incident on MD-295 NB near MD-100 Drive with caution.,21076,2022-09-17 03:54:00,60.0,86.0,30.05,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-4220757,2,516,613,0.214,Incident on CA-198 near S BUFFALO AVE Expect delays.,93210,2022-02-20 08:56:00,53.0,45.0,29.76,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-1045547,2,1083,1177,0.0,Lane blocked due to accident on TX-366 Eastbound at Pearl St.,75201,2021-05-14 17:53:00,78.0,45.0,29.59,10.0,SSE,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5175562,2,317,418,0.089,Incident on I-87 near I-87 Drive with caution.,10451,2022-05-17 04:51:00,59.0,62.0,29.72,10.0,WNW,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
A-6702457,2,1400,36,0.08,Incident on EASTON RD near WAVERLY RD Drive with caution.,19038-3901,2020-09-17 23:15:00,63.0,98.0,29.63,10.0,CALM,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1364,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A-5867982,2,888,968,0.186,Incident on PEARL RETREAT LN near E PARMER CROSSOVER Drive with caution.,78753,2021-09-05 14:51:00,100.0,27.0,29.2,10.0,VAR,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0
A-4776875,2,1322,1397,0.016,Incident on BELMONT AVE near SUMMIT AVE Drive with caution.,76240-2905,2022-06-11 21:55:00,84.0,69.0,28.84,10.0,SSE,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,7,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0
